iter	Passed	Remaining
983	19183	10059
984	19204	10040
985	19224	10021
986	19244	10002
987	19263	9982
988	19284	9963
989	19304	9944
990	19325	9925
991	19343	9905
992	19362	9886
993	19383	9867
994	19402	9847
995	19422	9828
996	19447	9811
997	19466	9791
998	19485	9771
999	19505	9752
1000	19524	9732
1001	19543	9713
1002	19564	9694
1003	19584	9675
1004	19603	9655
1005	19623	9636
1006	19641	9616
1007	19660	9596
1008	19678	9576
1009	19698	9556
1010	19716	9536
1011	19736	9517
1012	19756	9498
1013	19776	9478
1014	19796	9459
1015	19817	9440
1016	19836	9420
1017	19856	9401
1018	19876	9382
1019	19896	9362
1020	19915	9343
1021	19935	9324
1022	19955	9304
1023	19974	9284
1024	19994	9265
1025	20015	9246
1026	20033	9226
1027	20052	9207
1028	20072	9187
1029	20091	9168
1030	20110	9148
1031	20130	9128
1032	20148	9108
1033	20167	9088
1034	20186	9069
1035	20207	9050
1036	20226	9030
1037	20246	9011
1038	20263	8990
1039	20284	8971
1040	20304	8952
1041	20323	8932
1042	20341	8913
1043	20360	8893
1044	20382	8874
1045	20401	8855
1046	20422	8836
1047	20447	8818
1048	20466	8799
1049	20485	8779
1050	20505	8760
1051	20524	8740
1052	20543	8720
1053	20564	8701
1054	20583	8682
1055	20602	8662
1056	20610	8638
1057	20628	8618
1058	20649	8599
1059	20669	8579
1060	20690	8560
1061	20709	8541
1062	20730	8522
1063	20748	8502
1064	20767	8482
1065	20787	8463
1066	20807	8443
1067	20826	8424
1068	20847	8405
1069	20867	8386
1070	20887	8366
1071	20905	8346
1072	20925	8327
1073	20944	8307
1074	20964	8288
1075	20983	8268
1076	21002	8248
1077	21021	8229
1078	21041	8209
1079	21061	8190
1080	21081	8171
1081	21099	8151
1082	21117	8131
1083	21136	8111
1084	21155	8091
1085	21175	8072
1086	21194	8052
1087	21214	8033
1088	21233	8013
1089	21253	7994
1090	21272	7974
1091	21293	7955
1092	21312	7936
1093	21332	7916
1094	21352	7897
1095	21372	7878
1096	21392	7858
1097	21411	7839
1098	21436	7821
1099	21457	7802
1100	21477	7783
1101	21498	7764
1102	21519	7745
1103	21538	7725
1104	21551	7703
1105	21570	7684
1106	21589	7664
1107	21610	7645
1108	21630	7626
1109	21649	7606
1110	21669	7587
1111	21689	7567
1112	21710	7548
1113	21732	7530
1114	21751	7510
1115	21770	7491
1116	21789	7471
1117	21809	7452
1118	21829	7432
1119	21849	7413
1120	21868	7393
1121	21887	7373
1122	21907	7354
1123	21925	7334
1124	21943	7314
1125	21963	7295
1126	21982	7275
1127	22002	7256
1128	22024	7237
1129	22045	7218
1130	22065	7199
1131	22085	7179
1132	22104	7160
1133	22124	7140
1134	22143	7121
1135	22163	7101
1136	22183	7082
1137	22203	7063
1138	22223	7043
1139	22243	7024
1140	22263	7004
1141	22282	6985
1142	22302	6965
1143	22322	6946
1144	22341	6926
1145	22362	6907
1146	22382	6888
1147	22401	6868
1148	22427	6851
1149	22447	6831
1150	22466	6812
1151	22485	6792
1152	22507	6773
1153	22526	6754
1154	22547	6734
1155	22567	6715
1156	22586	6696
1157	22605	6676
1158	22624	6656
1159	22644	6637
1160	22665	6618
1161	22688	6599
1162	22710	6580
1163	22729	6561
1164	22748	6541
1165	22767	6521
1166	22789	6502
1167	22808	6483
1168	22827	6463
1169	22849	6444
1170	22869	6425
1171	22888	6405
1172	22907	6385
1173	22927	6366
1174	22947	6347
1175	22966	6327
1176	22986	6308
1177	23005	6288
1178	23025	6269
1179	23046	6250
1180	23067	6230
1181	23086	6211
1182	23105	6191
1183	23124	6171
1184	23144	6152
1185	23162	6132
1186	23182	6113
1187	23203	6093
1188	23223	6074
1189	23242	6054
1190	23262	6035
1191	23280	6015
1192	23300	5995
1193	23320	5976
1194	23339	5956
1195	23355	5936
1196	23373	5916
1197	23393	5897
1198	23417	5878
1199	23436	5859
1200	23456	5839
1201	23475	5820
1202	23495	5800
1203	23515	5781
1204	23535	5761
1205	23554	5742
1206	23573	5722
1207	23592	5702
1208	23611	5683
1209	23630	5663
1210	23650	5643
1211	23672	5625
1212	23692	5605
1213	23713	5586
1214	23738	5568
1215	23760	5549
1216	23780	5529
1217	23799	5510
1218	23818	5490
1219	23837	5470
1220	23857	5451
1221	23878	5432
1222	23897	5412
1223	23915	5392
1224	23934	5372
1225	23953	5353
1226	23973	5333
1227	23992	5314
1228	24011	5294
1229	24031	5275
1230	24050	5255
1231	24070	5236
1232	24090	5216
1233	24109	5197
1234	24129	5177
1235	24148	5157
1236	24167	5138
1237	24187	5118
1238	24206	5099
1239	24226	5079
1240	24245	5060
1241	24265	5040
1242	24285	5021
1243	24304	5001
1244	24323	4981
1245	24343	4962
1246	24362	4942
1247	24381	4923
1248	24404	4904
1249	24425	4885
1250	24443	4865
1251	24477	4848
1252	24497	4829
1253	24515	4809
1254	24534	4789
1255	24553	4769
1256	24572	4750
1257	24592	4730
1258	24612	4711
1259	24631	4691
1260	24649	4671
1261	24670	4652
1262	24690	4633
1263	24709	4613
1264	24728	4593
1265	24749	4574
1266	24769	4555
1267	24788	4535
1268	24807	4515
1269	24827	4496
1270	24846	4476
1271	24866	4457
1272	24885	4437
1273	24904	4417
1274	24924	4398
1275	24944	4379
1276	24964	4359
1277	24984	4339
1278	25003	4320
1279	25023	4300
1280	25042	4281
1281	25062	4261
1282	25081	4242
1283	25100	4222
1284	25120	4202
1285	25140	4183
1286	25159	4163
1287	25192	4146
1288	25212	4127
1289	25231	4107
1290	25251	4087
1291	25270	4068
1292	25291	4048
1293	25310	4029
1294	25329	4009
1295	25350	3990
1296	25369	3970
1297	25390	3951
1298	25409	3931
1299	25432	3912
1300	25453	3893
1301	25472	3873
1302	25491	3854
1303	25510	3834
1304	25531	3815
1305	25550	3795
1306	25569	3775
1307	25589	3756
1308	25608	3736
1309	25627	3716
1310	25646	3697
1311	25669	3678
1312	25689	3658
1313	25708	3639
1314	25727	3619
1315	25747	3599
1316	25766	3580
1317	25786	3560
1318	25806	3541
1319	25826	3521
1320	25845	3502
1321	25866	3482
1322	25885	3463
1323	25910	3444
1324	25931	3424
1325	25950	3405
1326	25970	3385
1327	25990	3366
1328	26009	3346
1329	26028	3326
1330	26048	3307
1331	26069	3288
1332	26089	3268
1333	26109	3248
1334	26128	3229
1335	26147	3209
1336	26166	3190
1337	26185	3170
1338	26205	3150
1339	26223	3131
1340	26243	3111
1341	26262	3091
1342	26280	3072
1343	26300	3052
1344	26320	3033
1345	26341	3013
1346	26361	2994
1347	26381	2974
1348	26399	2955
1349	26418	2935
1350	26442	2916
1351	26461	2896
1352	26484	2877
1353	26503	2857
1354	26523	2838
1355	26542	2818
1356	26561	2799
1357	26580	2779
1358	26600	2759
1359	26620	2740
1360	26639	2720
1361	26659	2701
1362	26679	2681
1363	26699	2662
1364	26718	2642
1365	26738	2622
1366	26757	2603
1367	26779	2583
1368	26797	2564
1369	26817	2544
1370	26837	2525
1371	26856	2505
1372	26877	2486
1373	26896	2466
1374	26916	2446
1375	26937	2427
1376	26956	2407
1377	26977	2388
1378	26998	2368
1379	27017	2349
1380	27037	2329
1381	27058	2310
1382	27078	2290
1383	27098	2271
1384	27117	2251
1385	27137	2232
1386	27156	2212
1387	27177	2193
1388	27197	2173
1389	27216	2153
1390	27235	2134
1391	27255	2114
1392	27275	2095
1393	27297	2075
1394	27317	2056
1395	27337	2036
1396	27356	2016
1397	27375	1997
1398	27394	1977
1399	27413	1958
1400	27436	1938
1401	27456	1919
1402	27476	1899
1403	27497	1880
1404	27518	1860
1405	27537	1841
1406	27556	1821
1407	27576	1801
1408	27596	1782
1409	27615	1762
1410	27635	1743
1411	27654	1723
1412	27676	1704
1413	27696	1684
1414	27716	1664
1415	27734	1645
1416	27754	1625
1417	27774	1606
1418	27794	1586
1419	27815	1567
1420	27835	1547
1421	27854	1527
1422	27875	1508
1423	27894	1488
1424	27916	1469
1425	27936	1449
1426	27956	1430
1427	27974	1410
1428	27994	1390
1429	28013	1371
1430	28033	1351
1431	28053	1332
1432	28073	1312
1433	28094	1293
1434	28113	1273
1435	28132	1253
1436	28151	1234
1437	28171	1214
1438	28192	1195
1439	28212	1175
1440	28233	1155
1441	28254	1136
1442	28273	1116
1443	28292	1097
1444	28312	1077
1445	28332	1058
1446	28351	1038
1447	28371	1018
1448	28390	999
1449	28409	979
1450	28436	960
1451	28456	940
1452	28476	921
1453	28496	901
1454	28515	881
1455	28534	862
1456	28554	842
1457	28574	823
1458	28595	803
1459	28615	783
1460	28634	764
1461	28664	745
1462	28683	725
1463	28702	705
1464	28721	686
1465	28740	666
1466	28761	646
1467	28781	627
1468	28800	607
1469	28820	588
1470	28839	568
1471	28860	548
1472	28879	529
1473	28897	509
1474	28917	490
1475	28936	470
1476	28955	450
1477	28975	431
1478	28995	411
1479	29014	392
1480	29033	372
1481	29052	352
1482	29062	333
1483	29082	313
1484	29101	293
1485	29110	274
1486	29129	254
1487	29149	235
1488	29169	215
1489	29189	195
1490	29208	176
1491	29229	156
1492	29248	137
1493	29270	117
1494	29289	97
1495	29309	78
1496	29327	58
1497	29348	39
1498	29368	19
1499	29387	0
